Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Australia,19948.02997,20040.52311,19810.51808,20642.25997,21653.97784,22503.62361,22518.9306,23638.46282,24408.19418,25586.71445,26887.80226,27034.11212,27579.58181,27872.59976,28292.04551,28319.29659,28762.57727,29462.71845,29382.18908,30243.57838,30784.11206,31319.16533,31804.26901,30674.10864,31699.72119,32931.29819,33745.76315,34086.9309,35464.40842,36220.41755,36964.67245,36356.69487,36106.01327,37234.68231,38345.87612,39395.21074,40420.97941,41550.5511,43036.32342,44677.89465,45892.61037,46232.03825,47534.54521,48453.0138,49959.07241,50911.13414,51605.3146,52586.40939,53382.31006,53271.59019,53606.58144,54131.10471,55269.91928,55727.73415,56318.63598,56708.9612,57354.54981,57701.52385,58479.50355,58868.48063,58115.93067,59339.68435,60797.95865
Brazil,2578.428728,2717.001315,2811.62711,2746.513434,2758.862972,2746.257726,2850.901018,2892.683912,3095.221555,3304.855891,3558.851924,3866.384995,4224.195675,4699.439149,4962.921795,5097.707746,5489.979433,5626.716349,5768.425552,6014.866661,6415.637075,6001.644299,5914.564397,5613.610873,5788.086505,6110.357698,6433.497242,6528.622718,6399.483631,6479.06835,6086.076853,6043.431939,5911.686343,6103.376513,6358.678056,6524.518103,6567.351705,6689.198607,6613.98242,6551.225917,6745.856994,6749.880827,6868.695117,6865.172461,7178.346659,7325.902707,7534.541633,7909.824337,8231.099426,8142.760111,8673.897385,8935.276286,9025.312958,9216.131219,9183.45867,8783.214413,8426.842251,8470.939629,8553.864918,8592.210218,8255.567064,8621.73059,8831.126713
China,238.2170645,175.0236906,163.9070524,176.400465,203.6878449,232.607219,250.3049158,229.8762862,214.7700773,244.3639772,283.5853712,295.3801865,299.1909039,315.12968,315.8166806,337.3441367,326.9494777,346.9391742,381.0993495,404.5966538,430.8554324,447.1198099,480.3113476,524.4093907,596.2011404,667.1285769,716.1053776,786.8649229,861.1935319,883.7642016,905.0325047,975.4629668,1100.646174,1239.129438,1384.93023,1520.029549,1653.433876,1787.767071,1909.622429,2038.206581,2193.896982,2359.572509,2557.891746,2797.176806,3061.833333,3390.716338,3800.765996,4319.031624,4711.643697,5128.904397,5647.069024,6152.697196,6591.66284,7056.423462,7532.785697,8016.446016,8516.52919,9053.2292,9619.20998,10155.51142,10358.17054,11223.15337,11560.3302
Spain,6215.036283,6886.539061,7502.641232,8150.831396,8498.647375,8932.557047,9482.216114,9772.76322,10282.13648,11088.16169,11436.03312,11824.39246,12647.6295,13482.88221,14085.71108,14009.77548,14320.48044,14576.19511,14647.72461,14525.19228,14727.28352,14603.59093,14697.11364,14884.57747,15087.43895,15381.84457,15834.88287,16669.97704,17482.08699,18297.2444,18969.80864,19403.33038,19487.95121,19187.18231,19551.14529,20001.7908,20448.60149,21117.01858,21953.66752,22846.71775,23937.96855,24707.36707,25026.08647,25310.45639,25654.33655,26145.80858,26762.26726,27218.44926,27025.29494,25778.95647,25702.34684,25402.60507,24634.96209,24368.96824,24783.08295,25754.36103,26514.32481,27239.35244,27739.86477,28087.89792,24785.44671,26125.87167,27434.87991
France,11169.64724,11598.67953,12257.7593,12884.01704,13587.67167,14089.58455,14670.50051,15234.3647,15767.28334,16738.16766,17605.63897,18377.84742,19041.7684,20091.19401,20813.4449,20498.34808,21291.98899,21925.8324,22687.61151,23378.29499,23618.39962,23733.59357,24187.09477,24356.65929,24600.99236,24870.50582,25319.31509,25830.23898,26912.18121,27938.46976,28617.44357,28664.13188,28977.8889,28670.88633,29237.51659,29745.12873,30057.96555,30650.74448,31633.14775,32546.93405,33592.46683,34009.8624,34146.30627,34183.66334,34893.52981,35208.8558,35821.87199,36464.95927,36354.65866,35129.36224,35638.12156,36244.18716,36182.15113,36203.19087,36378.61866,36652.92231,36956.7958,37694.0833,38259.69777,38832.0242,35712.0752,38045.90216,38913.93741
United Kingdom,14914.88076,15198.15342,15235.9237,15859.44911,16628.57608,16876.01736,17047.25246,17428.15838,18287.2057,18561.72829,19722.86128,20329.0068,21135.77485,22471.18489,21899.09612,21577.98195,22211.42284,22764.80664,23720.62697,24587.84497,24059.60284,23861.76428,24346.50542,25365.72837,25900.2807,26913.32336,27696.96136,29128.58188,30730.03654,31440.1858,31576.34733,31131.59895,31172.04918,31871.67796,33013.31111,33759.67064,34316.21971,35776.44633,36798.62173,37781.58188,39187.58308,39879.20578,40413.92315,41482.46171,42214.35342,43044.21153,43652.09467,44423.83525,44007.54928,41705.93912,42385.86022,42504.89635,42821.76128,43310.02056,44367.853,45071.07432,45699.29696,46499.01355,47006.14293,47491.59456,42098.60293,45334.157,47232.27181
Indonesia,597.1474029,614.504129,608.8708041,579.0168415,582.9756509,574.8178081,577.1514122,570.2529991,615.8182647,640.1724687,670.1360337,698.3062004,728.029691,766.8030857,801.477547,825.3391251,862.0387114,910.6672881,949.8787712,993.5164065,1067.172024,1124.618193,1123.649988,1146.727817,1198.460064,1202.353391,1246.579724,1283.962692,1330.95344,1408.502483,1483.638032,1556.806664,1629.847978,1706.952365,1805.603885,1922.352118,2039.362989,2101.25415,1797.083922,1784.333595,1845.227801,1885.679751,1943.644928,2009.489784,2083.882509,2174.915222,2264.935733,2377.254993,2487.611297,2569.874213,2695.86817,2826.480441,2959.514478,3086.323117,3203.484287,3322.581679,3453.04943,3591.780029,3741.305267,3892.421662,3780.121635,3892.962372,4073.610494
India,305.7892556,309.9466884,311.741193,322.8856322,339.0573121,322.82322,315.7759833,333.3168912,337.2157984,351.4400025,361.4861196,359.3688741,349.5080796,352.9896538,349.198443,372.7127006,370.6327323,388.8385669,402.0547097,372.6162999,388.8227767,402.9015157,407.5856172,427.5276932,433.9316645,446.5773296,457.5653884,465.3072214,499.0846451,517.420329,534.4840963,528.8981738,546.4410172,560.7985684,586.175454,618.1392842,651.9583526,665.4661035,693.4085005,740.9162288,755.4822894,777.7336556,793.100957,840.8180391,892.3820981,947.7634295,1008.667131,1070.131532,1087.583029,1156.880659,1238.014719,1285.283027,1337.476103,1404.545338,1490.028499,1590.174322,1701.184227,1795.911839,1891.138424,1944.314837,1813.534542,1961.960877,2085.121084
Italy,9687.647006,10412.90484,10984.31067,11516.17676,11741.37937,12023.41272,12644.32138,13454.27585,14244.52546,15027.85749,15736.18363,15947.72206,16442.65799,17495.28505,18337.16058,17846.97455,19023.50417,19427.91106,19986.06258,21115.91946,21795.25452,21952.88486,22027.35453,22276.81238,22990.29033,23626.74927,24301.14338,25074.26732,26113.35552,26977.93266,27490.63204,27894.24279,28107.85903,27851.12136,28444.41025,29265.08905,29627.48695,30153.77518,30690.91172,31184.61639,32350.90437,32963.67061,32998.20319,32897.39078,33150.47622,33257.7698,33751.70002,34081.09033,33530.36014,31615.27081,32058.17399,32229.45679,31184.55843,30257.62743,29979.91872,30242.38614,30685.6459,31244.2271,31593.48026,32114.29986,29373.44509,31600.70948,32902.66514
Japan,6260.67597,6952.109597,7501.445444,8055.041395,8902.495553,9319.706558,10217.41421,11232.9061,12537.88089,13935.68627,14114.31582,14456.8212,15455.13694,16463.27917,16046.78468,16333.67482,16801.92503,17370.61655,18120.72843,18953.33391,19334.37474,20011.82925,20525.29585,21122.96484,21912.15186,22898.99424,23527.71252,24503.08457,26026.86488,27199.93997,28422.21312,29308.27409,29462.65397,29232.43979,29466.75525,30171.16379,31046.17015,31276.19308,30795.08889,30636.26612,31430.63113,31476.05207,31416.12418,31830.21758,32515.1158,33098.54747,33531.51856,33990.03603,33557.6454,31651.08377,32942.20208,33011.13423,33518.44494,34239.88625,34386.90586,34960.63938,35242.19938,35861.97285,36138.52908,36043.7844,34603.26506,35507.57859,36032.39444
